Rec,Voltage,Tot. Diff. Cap.
,[V],[mAh/V]
720,2.7771,
721,2.7768,
722,2.7768,
723,2.7766,
724,2.7768,
725,2.7768,
726,2.7769,
727,2.7765,
728,2.7766,
729,2.7769,
730,2.7765,
731,2.7763,
732,2.7765,
733,2.7765,
734,2.7765,
735,2.7766,
736,2.7762,
737,2.7765,
738,2.7765,
739,2.7763,
740,2.7762,
741,2.7763,
742,2.7762,
743,2.7763,
744,2.776,
745,2.7762,
746,2.7762,
747,2.7762,
748,2.7758,
749,2.7758,
750,2.7755,0
751,2.776,
752,2.7758,
753,2.7757,
754,2.7757,
755,2.7757,
756,2.7755,
757,2.7755,
758,2.7755,
759,2.7755,
760,2.7754,
761,2.7755,
762,2.7752,
763,2.7754,
764,2.7755,
765,2.7754,
766,2.7752,
767,2.7752,
768,2.7752,
769,2.7752,
770,2.7754,
771,2.7754,
772,2.7751,
773,2.7754,
774,2.7751,
775,2.7751,
776,2.7751,
777,2.7749,
778,2.7749,
779,2.7749,
780,2.7749,
781,2.7749,
782,2.7746,
783,2.7748,
784,2.7746,
785,2.7746,
786,2.7746,
787,2.7746,
788,2.7743,
789,2.7745,
790,2.7745,
791,2.7745,
792,2.774,
793,2.7742,
794,2.7742,
795,2.7745,
796,2.7742,
797,2.774,
798,2.7743,
799,2.774,
800,2.7739,
801,2.774,
802,2.774,
803,2.774,
804,2.7739,
805,2.774,
806,2.7739,
807,2.7739,
808,2.7739,
809,2.7737,
810,2.774,
811,2.7736,
812,2.7737,
813,2.7737,
814,2.7736,
815,2.7736,
816,2.7737,
817,2.7736,
818,2.7734,
819,2.7734,
820,2.7736,
821,2.7737,
822,2.7733,
823,2.7733,
824,2.7736,
825,2.7734,
826,2.7733,
827,2.7731,
828,2.7729,
829,2.7731,
830,2.7728,
831,2.7733,
832,2.7733,
833,2.7729,
834,2.7728,
835,2.7731,
836,2.7731,
837,2.7728,
838,2.7729,
839,2.7729,
840,2.7726,
841,2.7726,
842,2.7728,
843,2.7728,
844,2.7728,
845,2.7726,
846,2.7728,
847,2.7729,
848,2.7723,
849,2.7726,
850,2.7725,
851,2.7723,
852,2.7723,
853,2.7723,
854,2.7722,
855,2.7725,
856,2.7723,
857,2.7723,
858,2.7722,
859,2.7722,
860,2.7722,
861,2.7722,
862,2.772,
863,2.772,
864,2.7722,
865,2.772,
866,2.7719,
867,2.772,
868,2.7717,
869,2.7719,
870,2.7719,
871,2.7719,
872,2.7719,
873,2.7717,
874,2.7716,
875,2.7716,
876,2.7716,
877,2.7714,
878,2.7716,
879,2.7714,
880,2.7716,
881,2.7711,
882,2.7713,
883,2.7713,
884,2.7714,
885,2.7713,
886,2.7713,
887,2.7713,
888,2.7713,
889,2.7711,
890,2.7711,
891,2.7711,
892,2.7711,
893,2.771,
894,2.771,
895,2.7711,
896,2.7708,
897,2.771,
898,2.7707,
899,2.7707,
900,2.7707,
901,2.7707,
902,2.7704,0
903,2.7707,
904,2.7707,
905,2.7705,
906,2.7705,
907,2.7704,
908,2.7704,
909,2.7705,
910,2.7704,
911,2.7704,
912,2.7704,
913,2.7702,
914,2.7704,
915,2.7702,
916,2.7702,
917,2.7704,
918,2.7704,
919,2.7702,
920,2.7702,
921,2.77,
922,2.7699,
923,2.77,
924,2.7699,
925,2.7699,
926,2.7697,
927,2.7697,
928,2.7697,
929,2.7697,
930,2.7697,
931,2.7696,
932,2.7696,
933,2.7699,
